,author,comment,line,true
0,Ardi Ardiansyah,Aquaridendi aminn..munafik modar...,Ardi Ardiansyah: Aquaridendi aminn..munafik modar...,0
1,yahya 9,kalo banjir gimana ?? lah mumpung juga gk?,yahya 9: kalo banjir gimana ?? lah mumpung juga gk?,0
2,DMC Remix,Itu kucing tua la .gua juga punya kucing besar & mirip kayak gt,DMC Remix: Itu kucing tua la .gua juga punya kucing besar & mirip kayak gt,1
3,Yosiaqwqww4 Kuntjorowqeeeh,Bahasa Indonesianya belepotan gitu mau pimpin NKRI..waduh... stand up komedy nih cocoknya....,Yosiaqwqww4 Kuntjorowqeeeh: Bahasa Indonesianya belepotan gitu mau pimpin NKRI..waduh... stand up komedy nih cocoknya....,1
4,Embun sang rumangsamu,hhhh.. nampaknya sampean pinter to mbak.. tp kok B pasti dah disodomi itu sama anggota isis.. kasihan akhirnya nyesel dan berdosa dah gak prawan.. kkkkk,Embun sang rumangsamu: hhhh.. nampaknya sampean pinter to mbak.. tp kok B pasti dah disodomi itu sama anggota isis.. kasihan akhirnya nyesel dan berdosa dah gak prawan.. kkkkk,1
5,anetta rahma,"pak anies kalau mau membangun jakarta kerjasama dengan pak ahok,,ga usah mencibir.berbuat sesuatu itu tidak harus menjadi pemimpin kok,kalau mau membangun jakarta msh bnyk jalan yg lain tanpa harus berebut kekuasaan","anetta rahma: pak anies kalau mau membangun jakarta kerjasama dengan pak ahok,,ga usah mencibir.berbuat sesuatu itu tidak harus menjadi pemimpin kok,kalau mau membangun jakarta msh bnyk jalan yg lain tanpa harus berebut kekuasaan",1
6,Games Uworld,Ga jelas nilai pelantikan pamrih,Games Uworld: Ga jelas nilai pelantikan pamrih,0
7,Putra Kelana,Baik sekali bapak ini.. Bangga melihat orang seperti ini. Semoga rezeki bapak melupakan anda utk bangsa ini di surga aamiin..,Putra Kelana: Baik sekali bapak ini.. Bangga melihat orang seperti ini. Semoga rezeki bapak melupakan anda utk bangsa ini di surga aamiin..,0
8,iphanked shafa al'aihlakmummalikin,"aku gak kuper, ngewar kesenangan rakyat selamat. Jangan terlalu mudah buka kondisi salah pilih tetap jadi pemimpin tp tapi gubernur brain juga juga pengen makan seharian... mau ngerupiah sudah kebanyakan org begok2 berapa ya mbak saya cukup gak ada itu? paham kabeh, yuk kabur. gimana ya? ","iphanked shafa al'aihlakmummalikin: aku gak kuper, ngewar kesenangan rakyat selamat. Jangan terlalu mudah buka kondisi salah pilih tetap jadi pemimpin tp tapi gubernur brain juga juga pengen makan seharian... mau ngerupiah sudah kebanyakan org begok2 berapa ya mbak saya cukup gak ada itu? paham kabeh, yuk kabur. gimana ya? ",0
9,galantrang setra,ya Allah semoga kau berikan umur yang berkah dan sehat pada kang Sam.kang Acil dan kang Jaka yang istiqomah berda'wah lewat music,galantrang setra: ya Allah semoga kau berikan umur yang berkah dan sehat pada kang Sam.kang Acil dan kang Jaka yang istiqomah berda'wah lewat music,1
10,Muhamad Rafiq,"samara teroris,,pasang lg unggul,,amin,,  sungguh ini di takutkan,,,  smagghfaul jntn yg lalu ,  spt tdk adil n keluarga yg di tinggalkan di beri ketabahan. Saya mulai dari jauh krn saya sendiri tidak sempurnaa.  :)","Muhamad Rafiq: samara teroris,,pasang lg unggul,,amin,,  sungguh ini di takutkan,,,  smagghfaul jntn yg lalu ,  spt tdk adil n keluarga yg di tinggalkan di beri ketabahan. Saya mulai dari jauh krn saya sendiri tidak sempurnaa.  :)",0
11,Noor Hayat,Sunguh tangn yg diats amatdlah mulia,Noor Hayat: Sunguh tangn yg diats amatdlah mulia,1
12,Mohammad Afrizal,saat sby masih jabat 10 thn gk ada katanya fraksi demokrat kembalikan uang ke kpk...ketika di kuras kasus Ektp di rezim jokowi baru di kembalikan 1miliyar ke kpk...woww gede bgt 1miliyar...percitraan???,Mohammad Afrizal: saat sby masih jabat 10 thn gk ada katanya fraksi demokrat kembalikan uang ke kpk...ketika di kuras kasus Ektp di rezim jokowi baru di kembalikan 1miliyar ke kpk...woww gede bgt 1miliyar...percitraan???,1
13,gundung great,Makin banyak aja pak polisi tersangkanya,gundung great: Makin banyak aja pak polisi tersangkanya,0
14,bagus eka,"Maka dari itu skrg ane males liat orang2 kek gitu... stelah tau klo rumah pengemis mewah2, ane skrg klo liat muka pengemis bukannya sedih, tapi malah enekkk...","bagus eka: Maka dari itu skrg ane males liat orang2 kek gitu... stelah tau klo rumah pengemis mewah2, ane skrg klo liat muka pengemis bukannya sedih, tapi malah enekkk...",1
15,Abdul Wahid,Psi partai kaga ada yg mau milih aja tengil bgt lu tong... Nazisss bgt milih psi,Abdul Wahid: Psi partai kaga ada yg mau milih aja tengil bgt lu tong... Nazisss bgt milih psi,1
16,Dheman She,iya komennya ganti presiden anak tp MATIONAL SUB ORANG ORANG PEMILU PERCAHAAAAN...... ,Dheman She: iya komennya ganti presiden anak tp MATIONAL SUB ORANG ORANG PEMILU PERCAHAAAAN...... ,0
17,Agus Cahyono,kompak terus rakyat indonesia untuk melawan kesewenang wenangan oknum petugas yang tidak tahu diri...,Agus Cahyono: kompak terus rakyat indonesia untuk melawan kesewenang wenangan oknum petugas yang tidak tahu diri...,1
18,Utara Fwediki,Saya panggil pakai uang masa kuda nil ada wkwk,Utara Fwediki: Saya panggil pakai uang masa kuda nil ada wkwk,0
19,Siri Siri,Bagus lah klu kita asli yg di belakang ketawa nya meski bkn asal tau aja belagu bgt...sihat tangan kosong hahahahahahhahahahaha. Sukses terus pak,Siri Siri: Bagus lah klu kita asli yg di belakang ketawa nya meski bkn asal tau aja belagu bgt...sihat tangan kosong hahahahahahhahahahaha. Sukses terus pak,0
20,Rizal Hidayat,"modal pahala bapak di trima yg mahakuasa .. anis bagi yg ga da foto  koruptor.,ini yg bikin arab ya gak punya sim nyawa orang juga gitu","Rizal Hidayat: modal pahala bapak di trima yg mahakuasa .. anis bagi yg ga da foto  koruptor.,ini yg bikin arab ya gak punya sim nyawa orang juga gitu",0
21,ms handayani,"Alhamdulilah  Pak  Ganjar  unggul  lgi,slmt  Pak.","ms handayani: Alhamdulilah  Pak  Ganjar  unggul  lgi,slmt  Pak.",1
22,landjoen1,"Rip smg sudah banyak saudara yg jd  Pelajaran yg Spt  2024  , sampai  pk sya bangga melihat  video yang menangani air mata buat apa latar gak ? gitu aja repot?","landjoen1: Rip smg sudah banyak saudara yg jd  Pelajaran yg Spt  2024  , sampai  pk sya bangga melihat  video yang menangani air mata buat apa latar gak ? gitu aja repot?",0
23,pantai gemah T agung pantai gemah T agung,ti sapu kbh  biar negara kita aman rukun damai,pantai gemah T agung pantai gemah T agung: ti sapu kbh  biar negara kita aman rukun damai,1
24,Pryfetz,"Aduh parah memalukan otak dangkal bikin onar, kenapa kalian basnya","Pryfetz: Aduh parah memalukan otak dangkal bikin onar, kenapa kalian basnya",0
25,Flora Nada,itu org yg mudh putus asa dengan kemalasanya ...nah lalu pemerintah yang disalahkan,Flora Nada: itu org yg mudh putus asa dengan kemalasanya ...nah lalu pemerintah yang disalahkan,1
26,Eko Oke,Pak Kapolda Bandung Baeka: sbg actingnya c itu klu udh tergateng ..otak mu ....jijik wkkwkwkwk,Eko Oke: Pak Kapolda Bandung Baeka: sbg actingnya c itu klu udh tergateng ..otak mu ....jijik wkkwkwkwk,0
27,quinny babyville,UU anti teroris sdh bnyak brisi kekolam krj yg bsx smbrngain kolam nunjuk klu timnya kotor  pada saat layak tinggal menjalankan tugas. yang membantu memberi penghiburan utk keluarga orang lain,quinny babyville: UU anti teroris sdh bnyak brisi kekolam krj yg bsx smbrngain kolam nunjuk klu timnya kotor  pada saat layak tinggal menjalankan tugas. yang membantu memberi penghiburan utk keluarga orang lain,0
