,author,comment,line,true
0,Syaiful Ramadhan,Njayy behanya segitu doang ??,Syaiful Ramadhan: Njayy behanya segitu doang ??,0
1,Rafli Azhari,dia aja blum kawin trus pengalaman dari mana,Rafli Azhari: dia aja blum kawin trus pengalaman dari mana,1
2,Gendut Rindaman,"Makin lama makin pendek aja durasinya, buat 10menitan min biar puas nontonnya","Gendut Rindaman: Makin lama makin pendek aja durasinya, buat 10menitan min biar puas nontonnya",0
3,wahid hidayatullah,Kak tipsnya buat gedein penisnya dong,wahid hidayatullah: Kak tipsnya buat gedein penisnya dong,1
4,Jamal Fataya,Gracenya kemana tong..,Jamal Fataya: Gracenya kemana tong..,1
5,heluwa habibti,"bungkus kontol aj di owar"" prett....","heluwa habibti: bungkus kontol aj di owar"" prett....",1
6,Subandrio Rio,Ga tahan ga punya duit,Subandrio Rio: Ga tahan ga punya duit,0
7,BUCEK PUTRA,Nah yg ke 11...klau aq main ma kamu mbak sampai mampus gak pakai kondom,BUCEK PUTRA: Nah yg ke 11...klau aq main ma kamu mbak sampai mampus gak pakai kondom,1
8,Gisik Kidul,buat para telur aja mah ....,Gisik Kidul: buat para telur aja mah ....,0
9,CVTan,Di somerset kagak cocok banget jd koki modus puput carolina ,CVTan: Di somerset kagak cocok banget jd koki modus puput carolina ,0
10,Sam Firdaus,Video yg uncensored masih jago main bukit kembar lhooo,Sam Firdaus: Video yg uncensored masih jago main bukit kembar lhooo,0
11,Dwi wijayanto,"percuma juga klo sampe pake teknik kalau  lagi senam apa lagi , trs klo bsa bawain tentang kritik pembaangunan boleh","Dwi wijayanto: percuma juga klo sampe pake teknik kalau  lagi senam apa lagi , trs klo bsa bawain tentang kritik pembaangunan boleh",0
12,Ali Yusup,kalau yang masak farah quin asik kayanya,Ali Yusup: kalau yang masak farah quin asik kayanya,1
13,dedi Hizkia,Habis itu kentu kenalpot,dedi Hizkia: Habis itu kentu kenalpot,1
14,Dono Etaf,"balik badan tehh, sedap pisan.. wkwkwkw","Dono Etaf: balik badan tehh, sedap pisan.. wkwkwkw",1
15,Alfadh zul fauzi,Aduh kakak Sassha carissha tuh nahh ,Alfadh zul fauzi: Aduh kakak Sassha carissha tuh nahh ,1
16,Maniak Gamers,Yg setuju rheina gantiin sacha like yo,Maniak Gamers: Yg setuju rheina gantiin sacha like yo,0
17,Meilani Meimei,Pitri pitri kalo di video cakep jga,Meilani Meimei: Pitri pitri kalo di video cakep jga,1
18,DuroMatt Carok,Wellcome Tania sama Irene dan semua hal layak umum kelebih dong abis liat nya.  Apalagi kalo pelayannya 2 orang  kambing ,DuroMatt Carok: Wellcome Tania sama Irene dan semua hal layak umum kelebih dong abis liat nya.  Apalagi kalo pelayannya 2 orang  kambing ,0
19,Hendrik Zulvies,mantaap kalo inemm...,Hendrik Zulvies: mantaap kalo inemm...,0
20,Yoto Yoto,hadeh....sdh bikin ngeces mba. wkwkwkwk....,Yoto Yoto: hadeh....sdh bikin ngeces mba. wkwkwkwk....,1
21,CITRA BAGUS,Pantat nya licin tt nya nig,CITRA BAGUS: Pantat nya licin tt nya nig,1
22,mas bertto vloq nya orang taiwan,Bareng temend dunkk sa,mas bertto vloq nya orang taiwan: Bareng temend dunkk sa,1
23,Ahmad Yusuf,Itu sasaha ga usah pakai baju sekalian.... Susu kewer kwer kayak gitu.... Ngondoy... Kayak pepaya,Ahmad Yusuf: Itu sasaha ga usah pakai baju sekalian.... Susu kewer kwer kayak gitu.... Ngondoy... Kayak pepaya,1
24,Mas Huda,mbak grace emang josss,Mas Huda: mbak grace emang josss,0
25,AKUN ML,Siapa yang kesini cuma pengen liat t*t*k?  Seperti gw,AKUN ML: Siapa yang kesini cuma pengen liat t*t*k?  Seperti gw,0
26,Deo Deco,"cewek ini gaya ajahhh, pada gak cantiikkkkk, ","Deo Deco: cewek ini gaya ajahhh, pada gak cantiikkkkk, ",1
27,Fadil Fadilah,Bagi ngomong pembantu rumah dari indonesia kat malaysia tampan: tobat tobat om,Fadil Fadilah: Bagi ngomong pembantu rumah dari indonesia kat malaysia tampan: tobat tobat om,0
28,Hari Gino,"yg baru kali ini cowo yg mau aahhhh,  gak kena punya nih. Hehehe. Gimana kabar? Oh ya, terus ngapain nlent neraka telanjang in dong..","Hari Gino: yg baru kali ini cowo yg mau aahhhh,  gak kena punya nih. Hehehe. Gimana kabar? Oh ya, terus ngapain nlent neraka telanjang in dong..",0
29,Rahmat Riansyah,Bambu nya di buat untuk ngocok tu..,Rahmat Riansyah: Bambu nya di buat untuk ngocok tu..,1
30,dickprat channel,Saran sh buat nya Q B N ini .. wes tau ..model2 ini  si pamer body,dickprat channel: Saran sh buat nya Q B N ini .. wes tau ..model2 ini  si pamer body,0
